LA,ESTAB,URN,PERCTOT,PPERSABS10
210,2010,146669,4.7,15.3
210,2038,100775,4.8,11
210,2085,100780,3.6,8.7
210,2100,100781,3.7,7.4
210,2116,100782,4.7,10.8
210,2123,100783,5,12.2
210,2138,100784,4,9
210,2142,100785,3.9,10
210,2161,100786,4.4,11.3
210,2169,136665,2.9,1.9
210,2257,100790,3.5,5.8
210,2263,100791,5,15.2
210,2293,100793,3.9,10.7
210,2308,100794,3.8,6.9
210,2323,100795,3.8,8.6
210,2328,100796,4,8.7
210,2335,140507,3.8,6.3
210,2339,100798,3.4,5.4
210,2351,100800,4.5,8.7
210,2365,100801,3.9,8.6
210,2392,100802,4.4,8.5
210,2411,100803,4.6,9.3
210,2500,137648,3.5,7.5
210,2514,100808,4.4,6.5
210,2516,100809,3.3,2.5
210,2526,100810,4.7,10.1
210,2560,100811,5.1,14.5
210,2562,100812,4.9,13.5
210,2607,100813,4.3,10.8
210,2609,100814,4,6.6
210,2621,100815,4.8,10.4
210,2848,100817,4.1,8.8
210,2852,100818,4,8.9
210,2853,100819,4.3,9.5
210,2855,100821,4.8,12.1
210,2856,130918,3.3,4.6
210,2857,137413,4.6,10.7
210,2858,131843,3.6,5.4
210,3313,100822,3.4,3.8
210,3337,100823,2.4,2.2
210,3341,100824,2.7,3.1
210,3399,100825,3.5,8.6
210,3435,100826,3.3,7
210,3445,100827,3.9,9
210,3447,100828,2.9,4.4
210,3452,100829,3.5,8.1
210,3460,100830,3.9,7
210,3468,100831,3.2,5.8
210,3475,100832,2.3,2.2
210,3476,100833,1.8,1.8
210,3484,100834,2.6,2.2
210,3492,100835,3.8,11.8
210,3508,100836,3.8,9.5
210,3516,100837,4.5,11
210,3573,100838,4.5,14.5
210,3586,100839,4.8,13.9
210,3593,100840,2.6,SUPP
210,3669,100841,3.7,7.3
210,3670,134903,4.6,10
210,4000,139587,6.2,20.2
210,4001,139718,4.4,11.7
210,4002,140221,5,11.4
210,4003,142178,4.6,11.2
210,4005,145313,5.1,14.7
210,4265,136309,3.9,5.4
210,4318,136298,4.8,10.3
210,4680,100849,3.7,8.5
210,5200,100851,4,8.7
210,5201,100852,2.7,2.6
210,5203,100853,3.3,9.3
210,5204,100854,3.5,7
210,5205,100855,6.2,17.3
210,5207,100816,4.9,10.1
210,5209,146117,4.3,9.6
210,5402,100857,4.9,11.7
210,5403,138961,2.5,6.6
210,5404,100859,4.7,12
210,5405,138960,3.6,9.4
210,6905,134222,6.5,18.3
210,6906,134225,4.9,14.5
210,6907,131747,4.7,12.1
210,6908,132711,4.1,8
210,6909,135315,5.6,13.6
210,6912,135584,4.1,8.2
210,6913,135816,4.2,7.6
210,7007,100872,5.7,15.6
210,7048,146190,5.7,20
210,7064,140138,27.4,62.7
210,7126,100878,5.3,11.8
210,7167,100879,8.5,28.9
210,7174,100880,12.1,28.3
210,7186,100881,10.2,36
211,2000,137016,2.6,3.7
211,2001,140096,4.5,8.4
211,2002,131936,3.9,7.3
211,2003,133288,4.7,10
211,2004,133574,4.2,10.5
211,2005,134160,4.1,9.9
211,2006,139423,5.2,12.6
211,2008,138276,4.3,8.9
211,2009,141039,3.6,6.5
211,2043,100890,4.5,11
211,2056,100891,4.4,9.4
211,2059,100892,4.1,8.1
211,2091,100893,3.9,6.3
211,2097,100894,4.2,10.2
211,2099,100895,4,8.5
211,2110,100896,3.4,4.9
211,2118,100897,4.3,5.7
211,2144,100898,4.3,10.4
211,2145,140064,3.8,7.3
211,2147,100900,4,9.5
211,2159,144699,4.4,7.3
211,2254,100902,3.1,3.8
211,2270,100903,3.2,2.9
211,2281,100904,5.3,14
211,2341,100906,3.4,5.5
211,2377,100907,3.9,6.7
211,2378,100908,4.8,13.6
211,2397,100911,4.9,13.3
211,2402,100912,4.5,9.6
211,2406,100913,3.2,2.6
211,2432,100914,5.4,15.9
211,2441,100915,4.3,8.7
211,2446,100916,4.7,12.2
211,2499,100917,4.1,6.9
211,2533,100920,4.6,9.4
211,2557,137682,4.1,5.8
211,2568,144235,3.9,8.2
211,2569,100923,4.8,12.9
211,2623,100926,3.1,1.7
