,LA code,Ofsted Avg,lonely_avg,KS2 metrics PCA,GDHI income index,LA name,LA flow rate,All Ages,meds,old%,young%,Unnamed: 0_x,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,FSM Eligible %,<2 A levels,< AAB,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees,progression_rate,total_pop,Unnamed: 0_y,"Average Rainfall (June, mm)"
106,E07000082,,3.009372289,,,Stroud,0.008312876,8189.642857,46.49125361,0.233310317,0.259091025,,,,,,,,,,,,,,,,0.445333333,6000,,
107,E07000083,,1.302590859,,105.4,Tewkesbury,0.012542621,10736,44.88682903,0.228203151,0.262816521,,,,,,,,,,,,,,,,0.439666667,4290,,
108,E07000084,,1.437213048,,,Basingstoke and Deane,0.007853448,8080,42.24566083,0.183772301,0.285135366,,,,,,,,,,,,,,,,0.393318182,8895,,
109,E07000085,,0.649692714,,,East Hampshire,0.010143058,8255.866667,46.34567601,0.233393122,0.267185484,,,,,,,,,,,,,,,,0.4068,5720,,
110,E07000086,,0.252630956,,,Eastleigh,0.008728103,9034.666667,42.5080069,0.203448946,0.276441473,,,,,,,,,,,,,,,,0.3942,6795,,
111,E07000087,,0.973836069,,,Fareham,0.008483983,8309.857143,46.54709507,0.243053596,0.25229534,,,,,,,,,,,,,,,,0.410571429,5630,,
112,E07000088,,0.797653694,,,Gosport,0.008361693,8467.9,43.02643825,0.208961425,0.280154896,,,,,,,,,,,,,,,,0.3024,4305,,
113,E07000089,,1.447324892,,,Hart,0.010852145,8873.454545,43.6083419,0.204111443,0.28048396,,,,,,,,,,,,,,,,0.513454545,4605,,
114,E07000090,,0.180744436,,99.6,Havant,0.009171231,7431.705882,45.01859721,0.237965882,0.271344047,,,,,,,,,,,,,,,,0.273294118,6155,,
115,E07000091,,-0.093105294,,,New Forest,0.006971435,7810.826087,50.20462433,0.294786429,0.236737863,,,,,,,,,,,,,,,,0.371652174,8490,,
116,E07000092,,1.583636838,,119.8,Rushmoor,0.013943246,7865.583333,39.82015028,0.154755579,0.290185469,,,,,,,,,,,,,,,,0.360166667,4890,,
117,E07000093,,0.73135725,,,Test Valley,0.010358431,8477.533333,45.79249493,0.228532647,0.262605032,,,,,,,,,,,,,,,,0.428066667,5945,,
118,E07000094,,1.314418722,,124.2,Winchester,0.011390147,8994.642857,42.69387707,0.214416822,0.309487355,,,,,,,,,,,,,,,,0.5075,5360,,
119,E07000095,,1.086874394,,,Broxbourne,0.011946839,7507.076923,40.49435698,0.180940615,0.299138983,,,,,,,,,,,,,,,,0.384153846,5410,,
