,LA code,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,FSM Eligible %,<2 A levels,< AAB,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees
27,E08000014,1.048218029,2.236198463,0.139762404,2.309307208,,0.28924000000000005,0.89264,0.444444444,2.222222222,0.185185185,4.322766571,0.098654255,0.6279999999999999,0.385
34,E08000015,1.95585359,3.241128807,0.0,0.335289187,,0.20135000000000003,0.8207,2.014968336,4.231433506,0.0,3.595696489,0.090541438,0.7110000000000001,0.32999999999999996
35,E08000016,0.767263427,2.301790281,0.0,1.644135915,,0.21611000000000002,0.86301,0.41322314,1.198347107,0.0,8.966942149,0.133495506,0.746,0.496
38,E08000017,0.374765771,1.561524047,0.031230481,1.030927835,,0.25311000000000006,0.87912,0.673076923,2.179487179,0.0,4.038461538,0.088674943,0.774,0.3440000000000001
45,E08000018,0.428054001,1.317089233,0.0,1.21830754,,0.30367,0.89884,0.639515315,1.783911141,0.0,1.413665433,0.085670484,0.616,0.45100000000000007
46,E08000019,1.160285099,1.839880656,0.0,1.077407592,,0.21843,0.80235,2.0023757,3.784150687,0.0,5.124724249,0.154827754,0.794,0.366
2,E08000020,0.874635569,0.485908649,0.0,1.344215074,,,,,,,,,,
5,E08000021,2.049967969,3.491351698,0.0,3.010890455,,0.21501000000000003,0.831,1.875901876,3.03030303,0.0,2.260702261,0.148798265,0.742,0.473
6,E08000022,1.267482517,2.01048951,0.524475524,2.090592334,,0.2304600000000001,0.83978,0.646678424,2.821869489,0.646678424,5.89953271,0.058673968,0.846,0.2709999999999999
9,E08000023,0.766283525,0.383141762,2.681992337,1.00565682,,0.21601000000000004,0.84055,1.841359773,1.487252125,3.116147309,0.978336827,0.170271514,0.5700000000000001,0.496
11,E08000024,0.636492221,0.0,0.601131542,1.529704731,,0.31703000000000003,0.87952,0.94855892,0.0,2.553812477,3.406963684,0.131834237,0.29799999999999993,0.377
59,E08000025,2.443373176,3.466948425,0.046225979,3.077939234,,0.26756,0.80928,6.144352026,6.372417494,0.516501207,10.5724496,0.113241771,0.948,0.30400000000000005
60,E08000026,1.136632726,1.515510301,0.0,1.870708027,,0.26602000000000003,0.87824,3.138075314,5.413179916,0.0,4.837866109,0.129619961,0.746,0.381
61,E08000027,1.048218029,2.961215933,0.0,3.585246324,,0.20513000000000003,0.83384,1.898364486,2.424065421,0.496495327,12.07897793,0.198634913,0.811,0.41500000000000004
63,E08000028,1.412803532,4.194260486,0.022075055,4.986760812,,0.37754,0.94787,4.582146249,6.433998101,0.094966762,14.11261582,0.143259232,0.925,0.369
65,E08000029,2.310101801,3.328112764,0.313234143,2.435192459,,0.11580000000000001,0.86139,4.233226837,4.033546326,0.559105431,10.44176707,0.148702697,0.9390000000000001,0.32299999999999995
69,E08000030,1.071532001,4.083405734,0.318563568,4.36416185,,0.25402,0.86399,3.959208158,5.548890222,0.359928014,14.13904371,0.11481527,0.776,0.377
71,E08000031,2.211838006,3.831775701,0.0,4.579439252,,0.31507000000000007,0.87198,4.766875435,3.862212944,0.139178845,10.27874564,0.22931734,0.888,0.345
36,E08000032,1.434893389,2.105404318,0.013410219,2.561695279,,0.27079,0.89478,4.219126708,6.897937316,0.040182159,10.08977623,0.025240288,0.852,0.33299999999999996
37,E08000033,1.157981803,1.11662531,0.041356493,0.951199338,,0.2396299999999999,0.85185,3.407290016,3.407290016,0.0,2.989771833,0.117979532,0.754,0.42100000000000004
40,E08000034,1.530912659,1.707556428,0.0,2.082522382,,0.1673,0.78789,2.255319149,3.042553191,0.042553191,7.508460237,0.10674732,0.63,0.29200000000000004
41,E08000035,2.119805948,2.77367644,0.0,0.611685298,,0.25395999999999996,0.85511,2.379521692,3.136642231,0.0,5.107559188,0.004890972,0.8049999999999999,0.399
47,E08000036,0.640683396,2.028830753,0.0,1.747418586,,0.2026699999999999,0.87075,0.464037123,1.711136891,0.0,1.606425703,0.127696882,0.8089999999999999,0.45399999999999996
116,E09000001,10.34482759,6.896551724,0.0,79.31034483,,,,,,,,,,1.0
129,E09000002,0.994318182,1.25,0.0,6.392045455,,0.24604000000000004,0.88271,4.939876503,4.777380565,0.0,17.09457264,0.044036527,0.925,0.33499999999999996
130,E09000003,2.43204578,2.742012399,0.0,6.938483548,,0.11992999999999998,0.72704,5.332322467,8.213292899,0.0,19.23174122,0.05292032,0.83,0.17900000000000005
131,E09000004,1.360544218,1.326530612,0.0,5.068027211,,0.21638000000000002,0.82883,5.272596844,2.116212339,0.215208034,20.27318476,0.123366536,0.942,0.32099999999999995
132,E09000005,2.389705882,2.862394958,0.026260504,11.05857631,,0.21419,0.79167,6.420177701,8.025222127,0.0,28.26024649,0.061167068,0.774,0.17700000000000005
133,E09000006,2.807107906,1.67396343,0.0,3.476693278,,0.1870099999999999,0.78887,6.111578357,4.850014017,0.0,16.96103168,0.114411962,0.925,0.406
115,E09000007,2.076777848,4.405286344,0.0,10.9502832,,0.21382999999999996,0.87648,6.145624582,5.878423514,0.0,26.45290581,0.094216878,0.735,0.2909999999999999
134,E09000008,1.776160924,1.326770811,0.0,8.41001498,,0.33951,0.90283,6.965405154,5.595542141,0.0,26.67750174,0.064750971,0.848,0.3590000000000001
135,E09000009,2.300799225,2.15548559,0.121094696,5.64985451,,0.15081999999999995,0.82772,6.570680628,6.282722513,0.418848168,22.42376446,0.111744329,0.895,0.18099999999999994
136,E09000010,2.044566965,1.355387089,0.045945325,6.341911765,,0.24663000000000002,0.83591,5.913729128,5.658627087,0.0,16.92165044,0.097545949,0.7989999999999999,0.22199999999999998
137,E09000011,2.446236559,3.655913978,0.0,8.11827957,,0.28031000000000006,0.9109700000000001,7.922705314,8.405797101,0.0,26.08695652,0.032978423,0.905,0.30000000000000004
117,E09000012,2.468652038,0.0,2.155172414,7.328794553,,0.26858000000000004,0.85556,7.795275591,0.0,6.929133858,13.49407783,0.150803318,0.922,0.23199999999999998
118,E09000013,4.377564979,4.582763338,0.0,6.497948016,,0.23855000000000004,0.8122,6.850393701,14.17322835,0.0,23.46456693,0.13723472,0.949,0.25
119,E09000014,1.546961326,1.031307551,0.0,6.998158379,,0.26024,0.80723,6.52761684,5.986867516,0.0,18.77172654,0.067934783,0.9,0.17500000000000004
138,E09000015,4.295259306,4.740693605,0.0,6.204263443,,0.1236799999999999,0.82282,5.414244186,2.943313953,0.0,26.67151163,0.121816168,0.974,0.16099999999999992
139,E09000016,2.047051635,3.269172013,0.0,3.391384051,,0.20257999999999998,0.88048,4.321643642,3.15267446,0.0,9.528869996,0.094571107,0.924,0.4079999999999999
140,E09000017,1.963784749,1.530221882,0.0,5.253761795,,0.28328999999999993,0.8813,6.879391101,5.06440281,0.0,14.75409836,0.090252708,0.909,0.3490000000000001
141,E09000018,3.599114064,2.380952381,0.0,8.388704319,,0.17808999999999997,0.86953,6.668824862,6.86306248,0.0,23.04953059,0.087616149,0.99,0.272
120,E09000019,3.916707982,0.0,3.272186415,9.892362891,,0.25123000000000006,0.87584,6.424747174,0.0,7.138607971,29.27610506,0.107189974,0.85,0.274
121,E09000020,4.966139955,9.367945824,0.0,10.60948081,,0.2348,0.82158,6.686046512,10.31976744,0.0,28.19767442,0.164783427,0.95,0.19900000000000007
142,E09000021,1.681555439,2.364687336,0.0,3.448275862,,0.16108999999999996,0.68399,4.612546125,2.398523985,0.061500615,18.5548071,0.023986568,0.865,0.34099999999999997
122,E09000022,2.714134649,2.255904124,0.0,8.706379979,,0.24414000000000002,0.77757,8.336491095,6.896551724,0.0,31.03448276,0.116427044,0.923,0.238
123,E09000023,3.051965906,0.0,2.474566951,8.739780096,,0.21259000000000006,0.9146799999999999,7.879564382,0.0,9.288917361,35.31073446,0.123453742,0.872,0.259
143,E09000024,3.146584804,5.257099002,0.0,9.746738296,,0.23602,0.85903,7.065750736,5.397448479,0.0,39.09001957,0.031364349,0.889,0.19700000000000006
124,E09000025,1.141602634,1.536772777,0.0,2.173435785,,0.12977000000000005,0.67645,4.948105238,3.813661598,0.0,4.827419744,0.062715585,0.98,0.21799999999999997
144,E09000026,2.022821577,0.07780083,1.867219917,3.831319105,,0.16754999999999998,0.84392,6.261757592,5.509271701,0.107497984,13.09139785,0.073488556,0.942,0.16200000000000003
145,E09000027,2.806122449,1.573129252,1.403061224,1.765719208,,0.24706000000000006,0.7534799999999999,5.828877005,5.614973262,1.604278075,15.197404,0.040659422,0.862,0.33299999999999996
125,E09000028,1.642451042,1.800379027,0.0,6.632975363,,0.18712000000000006,0.80357,7.135173897,6.310505558,0.0,17.92757261,0.114829396,0.848,0.21400000000000008
146,E09000029,2.688573562,4.480955937,0.0,10.8995894,,0.12304000000000004,0.68218,4.770017036,1.746166951,1.533219761,13.66782007,0.050738377,0.929,0.21900000000000008
126,E09000030,2.087170043,2.179251074,0.0,2.302025783,,0.26225999999999994,0.90029,5.174096974,5.66221933,0.0,7.061503417,0.015901863,0.7210000000000001,0.21799999999999997
147,E09000031,1.828206616,1.97330238,0.0,3.395240859,,0.24883999999999995,0.9334,3.979591837,3.503401361,0.0,13.16326531,0.068936992,0.762,0.28900000000000003
127,E09000032,3.76984127,3.637566138,0.0,6.746031746,,0.23902,0.8583000000000001,9.418282548,7.29455217,0.092336103,24.16820702,0.056552668,0.906,0.22599999999999998
128,E09000033,4.048582996,2.186234818,0.0,9.95951417,,0.18696000000000002,0.75971,7.211120765,10.86012163,0.0,24.15291051,0.063918185,0.95,0.21999999999999997
86,E10000002,2.332892124,2.63070814,0.0,2.051621443,,0.10146,0.67578,5.020847811,4.308547603,0.0,9.507346586,,0.819,0.24
74,E10000003,0.904652499,1.550832855,0.014359563,1.019675427,,0.15552999999999995,0.76496,0.759750127,2.144183691,0.067533345,5.473897618,,0.655,0.367
18,E10000006,0.241492865,0.614709111,0.06586169,0.153778559,,0.2504900000000001,0.82014,0.732217573,1.987447699,0.062761506,0.188402763,,0.77,0.44299999999999995
51,E10000007,0.474176599,0.346020761,0.704857106,2.721878225,,0.19294,0.83257,0.368469535,0.526385051,0.500065798,7.059756742,,0.5289999999999999,0.38
105,E10000008,0.442596567,1.019313305,0.040236052,0.67087079,,0.27370000000000005,0.82005,0.231860338,1.309328969,0.027277687,6.602147687,,0.851,0.475
87,E10000011,1.789998155,2.86030633,0.018453589,1.199704688,,0.2611199999999999,0.86891,1.790332206,4.833896956,0.05967774,4.776119403,,0.865,0.493
76,E10000012,1.802135407,1.808307104,0.006171697,1.425749907,,0.20062999999999998,0.82624,2.113089415,1.910911107,0.0,6.671449067,,0.8089999999999999,0.46099999999999997
106,E10000013,1.471886959,2.929055049,0.279658522,1.062730627,,0.17191999999999996,0.78118,1.659751037,3.622725822,0.446856049,3.187759005,,0.563,0.396
88,E10000014,1.55698982,1.922948965,0.0,1.510413201,,0.18633,0.80072,0.737375242,1.519439893,0.0,6.42037837,,0.74,0.42200000000000004
77,E10000015,2.660938258,2.841105952,0.297969649,1.529051988,,0.14873000000000003,0.77816,3.70398773,5.168711656,0.13803681,3.271386884,,0.837,0.347
90,E10000016,2.18118869,2.544720138,0.017311021,0.704103422,,0.2095999999999999,0.80911,3.515391065,3.683075817,0.005988741,2.689105827,,0.716,0.397
21,E10000017,1.628737171,2.439387178,0.200803213,1.311573143,,0.17546000000000006,0.7953600000000001,2.094526201,3.706299151,0.163513198,3.470597411,,0.629,0.379
53,E10000018,1.021817178,0.0,2.526926263,1.402464938,,0.19855,0.85546,0.53361793,0.0,2.241195304,4.475982533,,0.679,0.399
54,E10000019,0.732942431,0.999466951,0.0,1.319296375,,0.20799999999999996,0.82587,1.176627891,2.647412756,0.0,4.171680706,,0.525,0.396
79,E10000020,0.837808808,2.255639098,0.085929108,1.266094421,,0.22730000000000006,0.84998,0.255071056,1.530426333,0.085023685,1.833636916,,0.692,0.477
55,E10000021,1.46548831,2.338069135,0.0,1.286497371,,0.19609,0.87673,2.917940877,4.204892966,0.0254842,4.002039256,,0.834,0.405
44,E10000023,0.285001781,0.961881012,0.0,1.3671875,,0.2047,0.77201,1.041847543,2.170515715,0.017364126,5.053908356,,0.755,0.365
57,E10000024,1.126379815,1.847262897,0.0,2.162649245,,0.21289000000000002,0.84518,0.501552424,2.006209697,0.0,6.794841175,,0.6819999999999999,0.356
93,E10000025,0.675961132,1.042106746,0.056330094,1.070875018,,0.1744,0.82732,1.548604722,3.250536645,0.0,2.897884085,,0.672,0.42000000000000004
109,E10000027,0.962738456,1.123194865,0.320912819,1.985333572,,0.2070399999999999,0.82857,0.553342187,1.859229748,1.040283311,8.387385372,,0.81,0.473
66,E10000028,0.840800974,1.72585463,0.0,2.030456853,,0.21817999999999993,0.89335,1.420493725,1.834229761,0.0,8.882560347,,0.764,0.44299999999999995
82,E10000029,0.842276865,1.589457954,0.0,1.616628176,,0.24678,0.84851,0.870953694,2.206416026,0.043547685,2.294510601,,0.677,0.43600000000000005
98,E10000030,2.409454823,2.943194815,0.007624857,2.249504346,,0.18299999999999994,0.81106,2.736471623,4.58424989,0.316761989,6.23179451,,0.733,0.373
70,E10000031,1.372705507,3.192338388,0.063846768,1.452977806,,0.1915,0.79403,3.339580849,3.373658204,0.954165957,3.741846893,,0.756,0.399
100,E10000032,2.110121991,1.351796901,0.032970656,1.077396658,,0.25123000000000006,0.84189,1.728545344,1.618989653,0.109555691,2.022910066,,0.766,0.48
72,E10000034,1.028739386,2.008491182,0.391900718,2.459016393,,0.2476600000000001,0.87146,0.841852075,2.375225496,0.300661455,9.680337756,,0.824,0.42399999999999993
