location,location_code,geographic_level,time_period,phase,fsm_eligible_percent
Torbay,E06000027,localAuthority,201718 Spring Term,Total,15.49409102
Wiltshire,E06000054,localAuthority,201718 Spring Term,Total,7.308487702
North East,E12000001,region,201718 Spring Term,Total,18.4623936
North West,E12000002,region,201718 Spring Term,Total,16.11565858
Yorkshire and the Humber,E12000003,region,201718 Spring Term,Total,15.52195948
East Midlands,E12000004,region,201718 Spring Term,Total,12.19845699
West Midlands,E12000005,region,201718 Spring Term,Total,16.0082444
East of England,E12000006,region,201718 Spring Term,Total,10.09247138
London,E12000007,region,201718 Spring Term,Total,15.65087289
South East,E12000008,region,201718 Spring Term,Total,9.439386415
South West,E12000009,region,201718 Spring Term,Total,11.08440064
