location,location_code,geographic_level,time_period,school_phase,third_preference_offers_percent,non_preferred_offer_percent,no_offer_percent,schools_in_another_la_offer_percent
Hackney,E09000012,localAuthority,201718,Secondary,7.795275591,0,6.929133858,13.49407783
Hammersmith and Fulham,E09000013,localAuthority,201718,Secondary,6.850393701,14.17322835,0,23.46456693
Haringey,E09000014,localAuthority,201718,Secondary,6.52761684,5.986867516,0,18.77172654
Islington,E09000019,localAuthority,201718,Secondary,6.424747174,0,7.138607971,29.27610506
Kensington and Chelsea,E09000020,localAuthority,201718,Secondary,6.686046512,10.31976744,0,28.19767442
Lambeth,E09000022,localAuthority,201718,Secondary,8.336491095,6.896551724,0,31.03448276
Lewisham,E09000023,localAuthority,201718,Secondary,7.879564382,0,9.288917361,35.31073446
Newham,E09000025,localAuthority,201718,Secondary,4.948105238,3.813661598,0,4.827419744
Southwark,E09000028,localAuthority,201718,Secondary,7.135173897,6.310505558,0,17.92757261
Tower Hamlets,E09000030,localAuthority,201718,Secondary,5.174096974,5.66221933,0,7.061503417
Wandsworth,E09000032,localAuthority,201718,Secondary,9.418282548,7.29455217,0.092336103,24.16820702
Westminster,E09000033,localAuthority,201718,Secondary,7.211120765,10.86012163,0,24.15291051
Barking and Dagenham,E09000002,localAuthority,201718,Secondary,4.939876503,4.777380565,0,17.09457264
Barnet,E09000003,localAuthority,201718,Secondary,5.332322467,8.213292899,0,19.23174122
Bexley,E09000004,localAuthority,201718,Secondary,5.272596844,2.116212339,0.215208034,20.27318476
Brent,E09000005,localAuthority,201718,Secondary,6.420177701,8.025222127,0,28.26024649
Bromley,E09000006,localAuthority,201718,Secondary,6.111578357,4.850014017,0,16.96103168
Croydon,E09000008,localAuthority,201718,Secondary,6.965405154,5.595542141,0,26.67750174
Ealing,E09000009,localAuthority,201718,Secondary,6.570680628,6.282722513,0.418848168,22.42376446
Enfield,E09000010,localAuthority,201718,Secondary,5.913729128,5.658627087,0,16.92165044
Greenwich,E09000011,localAuthority,201718,Secondary,7.922705314,8.405797101,0,26.08695652
Harrow,E09000015,localAuthority,201718,Secondary,5.414244186,2.943313953,0,26.67151163
Havering,E09000016,localAuthority,201718,Secondary,4.321643642,3.15267446,0,9.528869996
Hillingdon,E09000017,localAuthority,201718,Secondary,6.879391101,5.06440281,0,14.75409836
Hounslow,E09000018,localAuthority,201718,Secondary,6.668824862,6.86306248,0,23.04953059
Kingston upon Thames,E09000021,localAuthority,201718,Secondary,4.612546125,2.398523985,0.061500615,18.5548071
Merton,E09000024,localAuthority,201718,Secondary,7.065750736,5.397448479,0,39.09001957
Redbridge,E09000026,localAuthority,201718,Secondary,6.261757592,5.509271701,0.107497984,13.09139785
Richmond upon Thames,E09000027,localAuthority,201718,Secondary,5.828877005,5.614973262,1.604278075,15.197404
Sutton,E09000029,localAuthority,201718,Secondary,4.770017036,1.746166951,1.533219761,13.66782007
Waltham Forest,E09000031,localAuthority,201718,Secondary,3.979591837,3.503401361,0,13.16326531
