location,location_code,geographic_level,time_period,school_type,perm_excl_rate
Warwick,E07000222,localAuthorityDistrict,201718,Total,0.102957158
Wolverhampton,E08000031,localAuthorityDistrict,201718,Total,0.22931734
Worcester,E07000237,localAuthorityDistrict,201718,Total,0.120362504
Wychavon,E07000238,localAuthorityDistrict,201718,Total,0.094793148
Wyre Forest,E07000239,localAuthorityDistrict,201718,Total,0.099785078
Babergh,E07000200,localAuthorityDistrict,201718,Total,0.069908342
Basildon,E07000066,localAuthorityDistrict,201718,Total,0.044051246
Bedford,E06000055,localAuthorityDistrict,201718,Total,0.191781795
Braintree,E07000067,localAuthorityDistrict,201718,Total,0.045126354
Breckland,E07000143,localAuthorityDistrict,201718,Total,0.138287638
Brentwood,E07000068,localAuthorityDistrict,201718,Total,0.104042806
Broadland,E07000144,localAuthorityDistrict,201718,Total,0.069869934
Broxbourne,E07000095,localAuthorityDistrict,201718,Total,0.162003863
Cambridge,E07000008,localAuthorityDistrict,201718,Total,0.014841199
Castle Point,E07000069,localAuthorityDistrict,201718,Total,0.015134317
Central Bedfordshire,E06000056,localAuthorityDistrict,201718,Total,0.128918442
Chelmsford,E07000070,localAuthorityDistrict,201718,Total,0.037221767
Colchester,E07000071,localAuthorityDistrict,201718,Total,0.026053298
Dacorum,E07000096,localAuthorityDistrict,201718,Total,0.073418268
East Cambridgeshire,E07000009,localAuthorityDistrict,201718,Total,0.008052178
East Hertfordshire,E07000242,localAuthorityDistrict,201718,Total,0.095870206
Epping Forest,E07000072,localAuthorityDistrict,201718,Total,0.055418719
Fenland,E07000010,localAuthorityDistrict,201718,Total,0
Forest Heath,E07000201,localAuthorityDistrict,201718,Total,0.030367446
Great Yarmouth,E07000145,localAuthorityDistrict,201718,Total,0.349676363
Harlow,E07000073,localAuthorityDistrict,201718,Total,0.056298381
Hertsmere,E07000098,localAuthorityDistrict,201718,Total,0.068379965
Huntingdonshire,E07000011,localAuthorityDistrict,201718,Total,0.012764871
Ipswich,E07000202,localAuthorityDistrict,201718,Total,0.151781056
King's Lynn and West Norfolk,E07000146,localAuthorityDistrict,201718,Total,0.279801499
Luton,E06000032,localAuthorityDistrict,201718,Total,0.148085466
Maldon,E07000074,localAuthorityDistrict,201718,Total,0.074150971
Mid Suffolk,E07000203,localAuthorityDistrict,201718,Total,0.0743605
North Hertfordshire,E07000099,localAuthorityDistrict,201718,Total,0.047283808
North Norfolk,E07000147,localAuthorityDistrict,201718,Total,0.177255341
Norwich,E07000148,localAuthorityDistrict,201718,Total,0.193684705
Peterborough,E06000031,localAuthorityDistrict,201718,Total,0.103003361
Rochford,E07000075,localAuthorityDistrict,201718,Total,0.096230954
South Cambridgeshire,E07000012,localAuthorityDistrict,201718,Total,0.004467277
South Norfolk,E07000149,localAuthorityDistrict,201718,Total,0.129533679
Southend-on-Sea,E06000033,localAuthorityDistrict,201718,Total,0.054443991
St Albans,E07000240,localAuthorityDistrict,201718,Total,0.067745846
St Edmundsbury,E07000204,localAuthorityDistrict,201718,Total,0.067381317
Stevenage,E07000243,localAuthorityDistrict,201718,Total,0.100118891
Suffolk Coastal,E07000205,localAuthorityDistrict,201718,Total,0.099875156
Tendring,E07000076,localAuthorityDistrict,201718,Total,0.031277694
Three Rivers,E07000102,localAuthorityDistrict,201718,Total,0.054105235
Thurrock,E06000034,localAuthorityDistrict,201718,Total,0.123365408
Uttlesford,E07000077,localAuthorityDistrict,201718,Total,0.017174753
