location,location_code,geographic_level,time_period,school_phase,third_preference_offers_percent,non_preferred_offer_percent,no_offer_percent,schools_in_another_la_offer_percent
Kent,E10000016,localAuthority,201718,Primary,2.18118869,2.544720138,0.017311021,0.704103422
Medway,E06000035,localAuthority,201718,Primary,1.421800948,2.517772512,0,3.050947867
Milton Keynes,E06000042,localAuthority,201718,Primary,1.360914535,1.306477953,0,3.565596081
Oxfordshire,E10000025,localAuthority,201718,Primary,0.675961132,1.042106746,0.056330094,1.070875018
Portsmouth,E06000044,localAuthority,201718,Primary,2.303030303,3.757575758,0,2.343434343
Reading,E06000038,localAuthority,201718,Primary,3.787528868,5.034642032,0,9.936189608
Slough,E06000039,localAuthority,201718,Primary,2.706078268,3.205661948,0,5.32889259
Southampton,E06000045,localAuthority,201718,Primary,2.88796103,4.558107168,0.034794711,2.958579882
Surrey,E10000030,localAuthority,201718,Primary,2.409454823,2.943194815,0.007624857,2.249504346
West Berkshire,E06000037,localAuthority,201718,Primary,2.224633749,2.17037439,0,3.635377103
West Sussex,E10000032,localAuthority,201718,Primary,2.110121991,1.351796901,0.032970656,1.077396658
Windsor and Maidenhead,E06000040,localAuthority,201718,Primary,3.934010152,3.045685279,0.063451777,2.603174603
Wokingham,E06000041,localAuthority,201718,Primary,1.839303001,0.9196515,0.048402711,1.937046005
Bath and North East Somerset,E06000022,localAuthority,201718,Primary,0.67001675,0.949190396,0.390843104,3.195067265
Cornwall,E06000052,localAuthority,201718,Primary,0.725764645,1.969932608,0.017280111,0.432077428
Devon,E10000008,localAuthority,201718,Primary,0.442596567,1.019313305,0.040236052,0.67087079
Gloucestershire,E10000013,localAuthority,201718,Primary,1.471886959,2.929055049,0.279658522,1.062730627
North Somerset,E06000024,localAuthority,201718,Primary,1.019974501,1.487462813,0.042498938,1.615646259
Plymouth,E06000026,localAuthority,201718,Primary,0.751622822,1.639904339,0,2.049880424
Somerset,E10000027,localAuthority,201718,Primary,0.962738456,1.123194865,0.320912819,1.985333572
South Gloucestershire,E06000025,localAuthority,201718,Primary,1.757689893,2.040175769,0,2.165725047
Swindon,E06000030,localAuthority,201718,Primary,1.053013798,1.779230211,0.072621641,1.767676768
Torbay,E06000027,localAuthority,201718,Primary,1.52173913,3.333333333,0.072463768,3.40826686
Wiltshire,E06000054,localAuthority,201718,Primary,1.251659397,1.877489095,0,2.218850749
"Bristol, City of",E06000023,localAuthority,201718,Primary,2.663972074,3.509094249,0,3.013044277
Camden,E09000007,localAuthority,201718,Primary,2.076777848,4.405286344,0,10.9502832
City of London,E09000001,localAuthority,201718,Primary,10.34482759,6.896551724,0,79.31034483
Hackney,E09000012,localAuthority,201718,Primary,2.468652038,0,2.155172414,7.328794553
Hammersmith and Fulham,E09000013,localAuthority,201718,Primary,4.377564979,4.582763338,0,6.497948016
Haringey,E09000014,localAuthority,201718,Primary,1.546961326,1.031307551,0,6.998158379
Islington,E09000019,localAuthority,201718,Primary,3.916707982,0,3.272186415,9.892362891
Kensington and Chelsea,E09000020,localAuthority,201718,Primary,4.966139955,9.367945824,0,10.60948081
