,LA code,3rd Pref %P,Non Preferred Offer %P,No Offer %P,Offer in diff LA code %P,3rd Pref %S,Non Preferred Offer %S,No Offer %S,Offer in diff LA code %S,FSM Eligible %,<2 A levels,< AAB,perm_excl_rate,Unsuccessful Appeals,% of ppl not doing degrees
43,E06000013,0.518134715,1.8134715029999997,0.0,1.295336788,0.736454498,2.577590742,0.0,4.809200209,13.734099299999999,37.480999999999995,90.891,10.679811,68.30000000000001,38.7
48,E06000014,1.473577236,0.050813008,1.168699187,1.028277635,1.023155627,0.053850296,1.9386106619999999,3.514552444,7.633047716000001,28.884,73.57400000000001,1.9882297,73.0,50.2
50,E06000015,1.496338746,2.801655524,0.095510984,2.619949495,3.8804945050000006,6.009615385,0.343406593,5.519053876,15.90561756,18.248000000000008,87.104,15.0708802,83.7,42.2
52,E06000016,1.142857143,3.868131868,0.0,5.912087912,2.1875,5.745192308,0.0,13.10096154,15.576135350000001,21.717,84.42,3.7688442,84.0,37.5
58,E06000017,0.0,0.262467192,1.57480315,4.533333333,0.285714286,2.0,0.285714286,8.595988539,4.685264664,4.808000000000012,79.208,5.3648069,66.7,12.3
56,E06000018,1.888828926,2.833243389,0.026983269999999997,6.018893387,3.685503686,5.251842752,0.245700246,14.606396059999998,23.05700609,26.989000000000008,85.004,12.0602558,79.89999999999999,41.400000000000006
62,E06000019,0.595560368,0.0,2.490525176,1.11049417,0.119760479,0.0,1.556886228,4.622871046,8.264708379,20.746,83.917,7.23589,85.2,43.50000000000001
68,E06000020,1.120448179,3.7348272639999998,0.0,1.6806722690000002,2.268145161,4.183467742,0.0,7.358870968000001,14.87921062,24.863000000000003,77.376,7.211043200000001,55.099999999999994,24.2
67,E06000021,1.180289171,3.334316908,0.0,6.637168141999999,1.055223356,2.708406613,0.0,15.13793103,20.10248126,21.436999999999994,90.579,12.4990434,67.30000000000001,35.6
103,E06000022,0.67001675,0.9491903959999999,0.390843104,3.1950672649999996,0.943396226,2.653301887,0.353773585,0.946745562,10.41172107,22.092,82.256,11.5143186,73.10000000000001,43.7
114,E06000023,2.663972074,3.509094249,0.0,3.013044277,4.458598726,9.389006841,0.0,13.375796179999998,17.90494762,18.149000000000004,83.204,2.3932851,82.80000000000001,39.2
107,E06000024,1.019974501,1.487462813,0.042498938,1.615646259,0.277777778,1.25,0.138888889,2.920723227,8.124711011,17.955,85.09400000000001,14.9046105,63.0,49.1
110,E06000025,1.7576898930000002,2.040175769,0.0,2.165725047,2.443342776,2.620396601,0.0,15.33286119,8.088460361,28.557,85.848,14.3072482,95.7,55.3
108,E06000026,0.751622822,1.6399043389999999,0.0,2.049880424,1.266308519,0.8442056789999999,0.0,4.988488104,15.06124223,26.083000000000002,83.19,10.3111386,77.3,43.3
112,E06000027,1.52173913,3.333333333,0.072463768,3.40826686,1.410788382,1.9087136929999997,0.331950207,3.7468776020000005,15.49409102,21.930000000000007,77.82900000000001,24.702561,86.1,46.099999999999994
111,E06000030,1.053013798,1.7792302110000002,0.072621641,1.767676768,0.804743753,1.482422702,0.0,15.31138437,12.2474118,42.92,92.437,9.7041699,80.60000000000001,60.8
80,E06000031,0.8568368439999999,2.177793645,0.0,0.9282399140000002,1.661695782,2.087771623,0.213037921,4.654141759,13.79050895,27.436000000000003,82.85,10.3003361,74.4,37.2
78,E06000032,1.06075217,1.7357762779999997,0.032144005,3.2797427650000004,3.176748902,4.798918554,0.033795201,5.170665765,14.404097069999999,21.52200000000001,89.98899999999999,14.8085466,93.8,28.799999999999994
81,E06000033,1.199040767,1.582733813,0.0,1.870503597,4.791666667,7.083333333,0.0,12.34375,11.66644031,12.397000000000002,80.12,5.4443991,83.7,41.6
83,E06000034,0.750883392,1.192579505,0.265017668,2.922940655,4.21101342,6.015733457,2.406293383,13.608345189999998,11.48187258,29.501999999999995,87.079,12.3365408,78.5,40.1
91,E06000035,1.421800948,2.517772512,0.0,3.050947867,3.5962145109999994,4.605678233,0.0,3.7854889589999994,11.86959182,23.638000000000005,84.442,12.9306566,78.4,49.6
84,E06000036,1.606145251,1.8156424580000001,0.0,3.770949721,2.72,2.16,0.08,12.16973579,6.661831167,29.681,87.871,8.9350533,86.2,49.7
99,E06000037,2.224633749,2.17037439,0.0,3.635377103,1.570996979,2.114803625,0.0,3.927492447,6.317204300999999,20.998999999999988,82.181,6.6073302,72.2,39.7
95,E06000038,3.787528868,5.034642032,0.0,9.936189608,4.362606232,3.6827195469999996,0.056657224,35.88435374,12.812582840000001,12.587000000000003,61.20000000000001,8.873508099999999,87.6,24.40000000000001
96,E06000039,2.706078268,3.205661948,0.0,5.32889259,6.241331484,6.056403144,0.0,14.840499309999998,9.238046206,15.373999999999999,86.1,2.9950083,91.5,30.500000000000004
101,E06000040,3.9340101519999995,3.045685279,0.063451777,2.603174603,2.508090615,3.074433657,4.28802589,19.61115807,6.152935283,16.218999999999994,82.43400000000001,6.944444399999999,86.1,41.79999999999999
102,E06000041,1.8393030009999998,0.9196514999999998,0.048402711,1.937046005,1.7507723999999998,2.626158599,0.102986612,14.53608247,5.316140708,13.656000000000002,82.614,5.8038305,81.5,32.2
92,E06000042,1.360914535,1.306477953,0.0,3.565596081,2.86909743,3.1978481769999996,0.059772863,7.296650718,10.23230088,28.822000000000003,87.885,2.1395409,84.8,37.3
85,E06000043,1.7186251,1.318944844,0.0,0.4796163070000001,3.158344003,6.103286385,0.0,1.621852326,13.03433994,18.55899999999999,74.297,3.4355675000000003,75.4,33.900000000000006
94,E06000044,2.303030303,3.757575758,0.0,2.343434343,0.258799172,0.776397516,0.0,9.472049689,18.62310745,26.02500000000001,93.506,7.3594918,84.6,50.9
97,E06000045,2.88796103,4.558107168,0.034794711,2.958579882,1.432408236,2.506714414,0.044762757,10.66493955,18.68903015,37.5,91.169,3.5290343,76.5,51.6
89,E06000046,0.16064257,1.044176707,0.0,0.0,0.334448161,2.006688963,0.0,0.0,13.063170439999999,32.64900000000001,90.339,7.7760498,80.0,42.29999999999999
1,E06000047,0.398565165,0.657632523,0.079713033,2.028639618,0.454357703,1.383725733,0.082610492,4.161516275,18.13613083,30.075999999999993,78.67999999999999,12.2755869,58.60000000000001,48.0
7,E06000048,0.233333333,0.0,0.766666667,0.638226402,0.0,0.0,0.633713561,0.637755102,12.32465151,27.773999999999997,79.884,,86.2,
16,E06000049,1.002109705,2.056962025,0.0,1.9778481010000002,0.311931375,2.157525344,0.103977125,4.501691387,8.372032058,19.306,81.44,8.0376837,81.39999999999999,46.20000000000001
